id,type,pattern,hasCycle,initialValue,cycles,versionId,label
oz332hni5d,in,1; 15; 1; 2; 1,FALSE,1,NA,1,A
wa330tzqi0,in,2; 12; 1; 4; 1,FALSE,1,NA,1,B
u83c5q5127,in,11; 8; 1,FALSE,1,NA,1,C
j65d94zn7m,out,1; 18; 1,FALSE,1,3,1,A·B
601v4l312b,out,1; 18; 1,FALSE,1,3,1,A·C
ikeup875p3,out,2; 17; 1,FALSE,1,3,1,B·C
oz332hni5d,in,5; 1; 10; 3; 1,FALSE,1,NA,2,A
wa330tzqi0,in,1; 14; 1; 3; 1,FALSE,1,NA,2,B
u83c5q5127,in,13; 6; 1,FALSE,1,NA,2,C
j65d94zn7m,out,1; 14; 1; 3; 1,FALSE,1,3,2,A·B
601v4l312b,out,5; 1; 7; 6; 1,FALSE,1,3,2,A·C
ikeup875p3,out,1; 18; 1,FALSE,1,3,2,B·C
oz332hni5d,in,16; 1; 1; 1; 1,FALSE,1,NA,3,A
wa330tzqi0,in,13; 4; 1; 1; 1,FALSE,1,NA,3,B
u83c5q5127,in,7; 7; 4; 1; 1,FALSE,1,NA,3,C
j65d94zn7m,out,13; 4; 1; 1; 1,FALSE,1,3,3,A·B
601v4l312b,out,7; 7; 2; 1; 1; 1; 1,FALSE,1,3,3,A·C
ikeup875p3,out,7; 10; 1; 1; 1,FALSE,1,3,3,B·C
