id,type,pattern,hasCycle,initialValue,cycles,versionId,label
0950md985m,in,2; 10; 4; 3; 1,FALSE,1,NA,1,A
g69ph717e6,out,2; 10; 4; 3; 1,FALSE,1,3,1,A0
9ifie7kio3,out,2; 10; 4; 3; 1,FALSE,1,3,1,A1
80a9dh08b6,out,2; 10; 4; 3; 1,FALSE,1,3,1,A2
b535lh2qye,out,2; 10; 4; 3; 1,FALSE,1,3,1,A3
2ukcels09a,out,2; 10; 4; 3; 1,FALSE,1,3,1,A4
0950md985m,in,18; 1; 1,FALSE,1,NA,2,A
g69ph717e6,out,18; 1; 1,FALSE,1,3,2,A0
9ifie7kio3,out,18; 1; 1,FALSE,1,3,2,A1
80a9dh08b6,out,18; 1; 1,FALSE,1,3,2,A2
b535lh2qye,out,18; 1; 1,FALSE,1,3,2,A3
2ukcels09a,out,18; 1; 1,FALSE,1,3,2,A4
0950md985m,in,3; 12; 1; 3; 1,FALSE,1,NA,3,A
g69ph717e6,out,3; 12; 1; 3; 1,FALSE,1,3,3,A0
9ifie7kio3,out,3; 12; 1; 3; 1,FALSE,1,3,3,A1
80a9dh08b6,out,3; 12; 1; 3; 1,FALSE,1,3,3,A2
b535lh2qye,out,3; 12; 1; 3; 1,FALSE,1,3,3,A3
2ukcels09a,out,3; 12; 1; 3; 1,FALSE,1,3,3,A4
0950md985m,in,11; 2; 5; 1; 1,FALSE,1,NA,4,A
g69ph717e6,out,11; 2; 5; 1; 1,FALSE,1,3,4,A0
9ifie7kio3,out,11; 2; 5; 1; 1,FALSE,1,3,4,A1
80a9dh08b6,out,11; 2; 5; 1; 1,FALSE,1,3,4,A2
b535lh2qye,out,11; 2; 5; 1; 1,FALSE,1,3,4,A3
2ukcels09a,out,11; 2; 5; 1; 1,FALSE,1,3,4,A4
0950md985m,in,14; 3; 1; 1; 1,FALSE,1,NA,5,A
g69ph717e6,out,14; 3; 1; 1; 1,FALSE,1,3,5,A0
9ifie7kio3,out,14; 3; 1; 1; 1,FALSE,1,3,5,A1
80a9dh08b6,out,14; 3; 1; 1; 1,FALSE,1,3,5,A2
b535lh2qye,out,14; 3; 1; 1; 1,FALSE,1,3,5,A3
2ukcels09a,out,14; 3; 1; 1; 1,FALSE,1,3,5,A4
