id,type,pattern,hasCycle,initialValue,cycles,versionId,label
6e6h3481iv,out,13; 2; 2; 2; 1,FALSE,1,3,1,B
337fhpqlvc,out,13; 2; 2; 2; 1,FALSE,1,3,1,A
66sg9if0ze,in,13; 2; 2; 2; 1,FALSE,1,NA,1,B
257yh28x22,in,13; 2; 2; 2; 1,FALSE,1,NA,1,A
6e6h3481iv,out,6; 6; 2; 1; 2; 2; 1,FALSE,1,3,2,B
337fhpqlvc,out,6; 6; 2; 1; 2; 2; 1,FALSE,1,3,2,A
66sg9if0ze,in,6; 6; 2; 1; 2; 2; 1,FALSE,1,NA,2,B
257yh28x22,in,6; 6; 2; 1; 2; 2; 1,FALSE,1,NA,2,A
6e6h3481iv,out,11; 1; 2; 3; 1; 1; 1,FALSE,1,3,3,B
337fhpqlvc,out,11; 1; 2; 3; 1; 1; 1,FALSE,1,3,3,A
66sg9if0ze,in,11; 1; 2; 3; 1; 1; 1,FALSE,1,NA,3,B
257yh28x22,in,11; 1; 2; 3; 1; 1; 1,FALSE,1,NA,3,A
6e6h3481iv,out,13; 1; 3; 2; 1,FALSE,1,3,4,B
337fhpqlvc,out,13; 1; 3; 2; 1,FALSE,1,3,4,A
66sg9if0ze,in,13; 1; 3; 2; 1,FALSE,1,NA,4,B
257yh28x22,in,13; 1; 3; 2; 1,FALSE,1,NA,4,A
6e6h3481iv,out,2; 2; 12; 3; 1,FALSE,1,3,5,B
337fhpqlvc,out,2; 2; 12; 3; 1,FALSE,1,3,5,A
66sg9if0ze,in,2; 2; 12; 3; 1,FALSE,1,NA,5,B
257yh28x22,in,2; 2; 12; 3; 1,FALSE,1,NA,5,A
