id,type,pattern,hasCycle,initialValue,cycles,versionId,label
4k023vdc3l,in,12; 5; 1; 1; 1,FALSE,1,NA,1,A1
r4154jdx40,in,2; 14; 2; 1; 1,FALSE,1,NA,1,P
z42cwg7o85,in,2; 14; 2; 1; 1,FALSE,1,NA,1,P
iru5x27e23,in,2; 7; 9; 1; 1,FALSE,1,NA,1,B1
r156160668,out,2; 15; 1; 1; 1,FALSE,1,3,1,A
2z4ay9q05t,out,2; 14; 2; 1; 1,FALSE,1,3,1,B
4k023vdc3l,in,8; 6; 2; 3; 1,FALSE,1,NA,2,A1
r4154jdx40,in,7; 4; 5; 1; 1; 1; 1,FALSE,1,NA,2,P
z42cwg7o85,in,7; 4; 5; 1; 1; 1; 1,FALSE,1,NA,2,P
iru5x27e23,in,8; 11; 1,FALSE,1,NA,2,B1
r156160668,out,7; 7; 2; 3; 1,FALSE,1,3,2,A
2z4ay9q05t,out,7; 12; 1,FALSE,1,3,2,B
4k023vdc3l,in,2; 3; 4; 7; 1; 2; 1,FALSE,1,NA,3,A1
r4154jdx40,in,3; 14; 1; 1; 1,FALSE,1,NA,3,P
z42cwg7o85,in,3; 14; 1; 1; 1,FALSE,1,NA,3,P
iru5x27e23,in,10; 3; 4; 2; 1,FALSE,1,NA,3,B1
r156160668,out,2; 17; 1,FALSE,1,3,3,A
2z4ay9q05t,out,3; 16; 1,FALSE,1,3,3,B
