id,type,pattern,hasCycle,initialValue,cycles,versionId,label
954theke74,in,6; 11; 1; 1; 1,FALSE,1,NA,1,B1
23fl0ls329,in,7; 2; 6; 2; 1; 1; 1,FALSE,1,NA,1,B2
b3c2710136,in,18; 1; 1,FALSE,1,NA,1,B3
ul94057ty4,in,13; 2; 1; 3; 1,FALSE,1,NA,1,A3
58818gk23r,in,7; 2; 8; 2; 1,FALSE,1,NA,1,A2
3991n1obal,in,3; 1; 8; 7; 1,FALSE,1,NA,1,A1
6255584j52,out,3; 1; 2; 13; 1,FALSE,1,3,1,O
954theke74,in,6; 3; 1; 2; 1; 2; 3; 1; 1,FALSE,1,NA,2,B1
23fl0ls329,in,17; 2; 1,FALSE,1,NA,2,B2
b3c2710136,in,8; 7; 3; 1; 1,FALSE,1,NA,2,B3
ul94057ty4,in,12; 1; 5; 1; 1,FALSE,1,NA,2,A3
58818gk23r,in,11; 1; 1; 2; 2; 2; 1,FALSE,1,NA,2,A2
3991n1obal,in,7; 2; 6; 2; 1; 1; 1,FALSE,1,NA,2,A1
6255584j52,out,6; 13; 1,FALSE,1,3,2,O
954theke74,in,1; 2; 8; 2; 2; 1; 2; 1; 1,FALSE,1,NA,3,B1
23fl0ls329,in,1; 13; 1; 4; 1,FALSE,1,NA,3,B2
b3c2710136,in,1; 6; 8; 4; 1,FALSE,1,NA,3,B3
ul94057ty4,in,18; 1; 1,FALSE,1,NA,3,A3
58818gk23r,in,3; 6; 2; 2; 2; 2; 1; 1; 1,FALSE,1,NA,3,A2
3991n1obal,in,6; 1; 6; 6; 1,FALSE,1,NA,3,A1
6255584j52,out,1; 18; 1,FALSE,1,3,3,O
