id,type,pattern,hasCycle,initialValue,cycles,versionId,label
v049v92tgg,in,10; 2; 3; 2; 1; 1; 1,FALSE,1,NA,1,2
60rupa08p8,in,1; 3; 8; 1; 5; 1; 1,FALSE,1,NA,1,1
cil9zb42e7,out,1; 1,FALSE,1,20,1,0
h9ltx7pm27,out,3; 8; 1; 7,FALSE,1,3,1,1
e20s8gg43u,out,2; 3; 2; 3,FALSE,1,10,1,2
i6v6c617e7,out,1; 3; 6; 3; 2; 2; 1; 1; 1,FALSE,1,3,1,3
v049v92tgg,in,5; 14; 1,FALSE,1,NA,2,2
60rupa08p8,in,3; 11; 4; 1; 1,FALSE,1,NA,2,1
cil9zb42e7,out,9; 4; 1; 1,FALSE,1,5,2,0
h9ltx7pm27,out,4; 2,FALSE,1,20,2,1
e20s8gg43u,out,2; 15,FALSE,1,5,2,2
i6v6c617e7,out,3; 16; 1,FALSE,1,3,2,3
