id,type,pattern,hasCycle,initialValue,cycles,versionId,label
z6690l9s97,in,13; 2; 3; 1; 1,FALSE,1,NA,1,A
mq50f92h9h,in,6; 13; 1,FALSE,1,NA,1,B
m5rohe0j6t,in,10; 9; 1,FALSE,1,NA,1,C
8ci0r0915s,out,6; 13; 1,FALSE,1,3,1,AND
ep12r27dtp,out,13; 2; 3; 1; 1,FALSE,1,3,1,OR
z6690l9s97,in,5; 7; 2; 5; 1,FALSE,1,NA,2,A
mq50f92h9h,in,17; 2; 1,FALSE,1,NA,2,B
m5rohe0j6t,in,10; 1; 1; 3; 3; 1; 1,FALSE,1,NA,2,C
8ci0r0915s,out,5; 14; 1,FALSE,1,3,2,AND
ep12r27dtp,out,18; 1; 1,FALSE,1,3,2,OR
z6690l9s97,in,9; 8; 1; 1; 1,FALSE,1,NA,3,A
mq50f92h9h,in,8; 4; 4; 3; 1,FALSE,1,NA,3,B
m5rohe0j6t,in,3; 14; 1; 1; 1,FALSE,1,NA,3,C
8ci0r0915s,out,3; 16; 1,FALSE,1,3,3,AND
ep12r27dtp,out,9; 3; 4; 1; 1; 1; 1,FALSE,1,3,3,OR
