id,type,pattern,hasCycle,initialValue,cycles,versionId,label
bc19z64871,in,1; 16; 1; 1; 1,FALSE,1,NA,1,A
2278129h8g,in,4; 7; 5; 3; 1,FALSE,1,NA,1,B
7lw8v665fm,out,3; 7; 5; 1; 1; 2,FALSE,1,3,1,C
bc19z64871,in,17; 2; 1,FALSE,1,NA,2,A
2278129h8g,in,6; 2; 10; 1; 1,FALSE,1,NA,2,B
7lw8v665fm,out,2; 9; 1; 2,FALSE,1,3,2,C
bc19z64871,in,6; 5; 7; 1; 1,FALSE,1,NA,3,A
2278129h8g,in,15; 2; 1; 1; 1,FALSE,1,NA,3,B
7lw8v665fm,out,5; 4; 2; 3,FALSE,1,3,3,C
,,,,,,,
,,,,,,,
,,,,,,,
,,1; 16; 1; 1; 1,,,,,
,,4; 7; 5; 3; 1,,,1; 18; 1,,
,,,,,4; 7; 5; 1; 1; 1; 1,,
,,,,,,,
,,,,,,,
,,,4; 7; 5; 1; 1; 1; 1,,,,
