id,type,pattern,hasCycle,initialValue,cycles,versionId,label
85y490zn3k,out,18; 1; 1,FALSE,1,3,1,E
4t5pj2sn4q,out,5; 8; 3; 3; 1,FALSE,1,3,1,D
b6j6a372a3,out,15; 4; 1,FALSE,1,3,1,C
o14hnqgp2q,out,8; 8; 2; 1; 1,FALSE,1,3,1,B
w19l8q5ay3,out,17; 2; 1,FALSE,1,3,1,A
46274ea348,in,17; 2; 1,FALSE,1,NA,1,A
6cn055602h,in,8; 8; 2; 1; 1,FALSE,1,NA,1,B
z6l5484m69,in,15; 4; 1,FALSE,1,NA,1,C
i75t655l6a,in,5; 8; 3; 3; 1,FALSE,1,NA,1,D
gv60hdb95i,in,18; 1; 1,FALSE,1,NA,1,E
85y490zn3k,out,1; 18; 1,FALSE,1,3,2,E
4t5pj2sn4q,out,3; 9; 3; 4; 1,FALSE,1,3,2,D
b6j6a372a3,out,6; 10; 1; 2; 1,FALSE,1,3,2,C
o14hnqgp2q,out,5; 10; 2; 2; 1,FALSE,1,3,2,B
w19l8q5ay3,out,5; 9; 3; 2; 1,FALSE,1,3,2,A
46274ea348,in,5; 9; 3; 2; 1,FALSE,1,NA,2,A
6cn055602h,in,5; 10; 2; 2; 1,FALSE,1,NA,2,B
z6l5484m69,in,6; 10; 1; 2; 1,FALSE,1,NA,2,C
i75t655l6a,in,3; 9; 3; 4; 1,FALSE,1,NA,2,D
gv60hdb95i,in,1; 18; 1,FALSE,1,NA,2,E
