id,type,pattern,hasCycle,initialValue,cycles,versionId,label
41bbs0k57x,in,8; 2; 2; 7; 1,FALSE,1,NA,1,A
ej5692xl6n,in,10; 5; 3; 1; 1,FALSE,1,NA,1,B
9dk35p28p7,in,8; 11; 1,FALSE,1,NA,1,C
c00x7nxe87,in,14; 5; 1,FALSE,1,NA,1,D
153wefs5ay,out,2; 2; 7; 1; 8,FALSE,1,3,1,A
rbqz09d2kw,out,5; 3; 1; 1; 10,FALSE,1,3,1,B
5wqfzkfay0,out,11; 1; 8,FALSE,1,3,1,C
813qr6w0gj,out,5; 1; 14,FALSE,1,3,1,D
41bbs0k57x,in,8; 9; 1; 1; 1,FALSE,1,NA,2,A
ej5692xl6n,in,1; 12; 1; 3; 1; 1; 1,FALSE,1,NA,2,B
9dk35p28p7,in,7; 1; 3; 8; 1,FALSE,1,NA,2,C
c00x7nxe87,in,17; 2; 1,FALSE,1,NA,2,D
153wefs5ay,out,9; 1; 1; 1; 8,FALSE,1,3,2,A
rbqz09d2kw,out,12; 1; 3; 1; 1; 1; 1,FALSE,1,3,2,B
5wqfzkfay0,out,1; 3; 8; 1; 7,FALSE,1,3,2,C
813qr6w0gj,out,2; 1; 17,FALSE,1,3,2,D
41bbs0k57x,in,6; 8; 4; 1; 1,FALSE,1,NA,3,A
ej5692xl6n,in,4; 5; 1; 9; 1,FALSE,1,NA,3,B
9dk35p28p7,in,15; 4; 1,FALSE,1,NA,3,C
c00x7nxe87,in,12; 2; 4; 1; 1,FALSE,1,NA,3,D
153wefs5ay,out,8; 4; 1; 1; 6,FALSE,1,3,3,A
rbqz09d2kw,out,5; 1; 9; 1; 4,FALSE,1,3,3,B
5wqfzkfay0,out,4; 1; 15,FALSE,1,3,3,C
813qr6w0gj,out,2; 4; 1; 1; 12,FALSE,1,3,3,D
41bbs0k57x,in,6; 11; 1; 1; 1,FALSE,1,NA,4,A
ej5692xl6n,in,3; 12; 2; 2; 1,FALSE,1,NA,4,B
9dk35p28p7,in,11; 8; 1,FALSE,1,NA,4,C
c00x7nxe87,in,16; 1; 1; 1; 1,FALSE,1,NA,4,D
153wefs5ay,out,11; 1; 1; 1; 6,FALSE,1,3,4,A
rbqz09d2kw,out,12; 2; 2; 1; 3,FALSE,1,3,4,B
5wqfzkfay0,out,8; 1; 11,FALSE,1,3,4,C
813qr6w0gj,out,1; 1; 1; 1; 16,FALSE,1,3,4,D
