id,type,pattern,hasCycle,initialValue,cycles,versionId,label
1wak460kj9,out,20,FALSE,1,3,1,1
56q4v7edsb,in,1; 6; 11; 1; 1; 1,FALSE,0,NA,1,B
l4jyw0584q,in,1; 6; 11; 1; 1,FALSE,1,NA,1,A
1wak460kj9,out,20,FALSE,1,3,2,1
56q4v7edsb,in,1; 3; 11; 1; 2; 1; 1; 1,FALSE,0,NA,2,B
l4jyw0584q,in,1; 3; 11; 1; 2; 1; 1,FALSE,1,NA,2,A
1wak460kj9,out,20,FALSE,1,3,3,1
56q4v7edsb,in,7; 4; 3; 5; 1; 1,FALSE,0,NA,3,B
l4jyw0584q,in,7; 4; 3; 5; 1,FALSE,1,NA,3,A
1wak460kj9,out,20,FALSE,1,3,4,1
56q4v7edsb,in,3; 2; 5; 2; 5; 2; 1; 1,FALSE,0,NA,4,B
l4jyw0584q,in,3; 2; 5; 2; 5; 2; 1,FALSE,1,NA,4,A
1wak460kj9,out,20,FALSE,1,3,5,1
56q4v7edsb,in,14; 5; 1; 1,FALSE,0,NA,5,B
l4jyw0584q,in,14; 5; 1,FALSE,1,NA,5,A
