id,type,pattern,hasCycle,initialValue,cycles,versionId,label
9z2pdt0br3,in,9; 3; 6; 1; 1,FALSE,1,NA,1,A
6237rhg3wd,in,4; 8; 2; 2; 2; 1; 1,FALSE,1,NA,1,B
qn1vdf31ce,in,18; 1; 1,FALSE,1,NA,1,C
83s11y92oa,in,1; 8; 1; 7; 1; 1; 1,FALSE,1,NA,1,D
4b6d64663v,in,12; 7; 1,FALSE,1,NA,1,E
l5cp0879c3,in,2; 1; 9; 5; 1; 1; 1,FALSE,1,NA,1,F
2k0hd84rkg,in,4; 1; 8; 6; 1,FALSE,1,NA,1,G
dx9xuyvlut,in,2; 17; 1,FALSE,1,NA,1,H
9u87dz425b,in,10; 1; 2; 2; 2; 2; 1,FALSE,1,NA,1,I
gs66t665z0,out,4; 8; 2; 2; 2; 1; 1,FALSE,1,3,1,B
l4l6o4y61r,out,9; 3; 6; 1; 1,FALSE,1,3,1,A
60b9a7yj2g,out,12; 7; 1,FALSE,1,3,1,E
3n8j5512o7,out,18; 1; 1,FALSE,1,3,1,C
k04lw4915z,out,1; 8; 1; 7; 1; 1; 1,FALSE,1,3,1,D
339768gf74,out,10; 1; 2; 2; 2; 2; 1,FALSE,1,3,1,I
m1f1776n71,out,2; 1; 9; 5; 1; 1; 1,FALSE,1,3,1,F
8rr3e56qlf,out,4; 1; 8; 6; 1,FALSE,1,3,1,G
52ctr58dp6,out,2; 17; 1,FALSE,1,3,1,H
9z2pdt0br3,in,11; 4; 2; 2; 1,FALSE,1,NA,2,A
6237rhg3wd,in,16; 3; 1,FALSE,1,NA,2,B
qn1vdf31ce,in,17; 2; 1,FALSE,1,NA,2,C
83s11y92oa,in,14; 3; 1; 1; 1,FALSE,1,NA,2,D
4b6d64663v,in,1; 3; 11; 2; 1; 1; 1,FALSE,1,NA,2,E
l5cp0879c3,in,10; 5; 2; 2; 1,FALSE,1,NA,2,F
2k0hd84rkg,in,12; 1; 4; 2; 1,FALSE,1,NA,2,G
dx9xuyvlut,in,10; 1; 4; 1; 1; 2; 1,FALSE,1,NA,2,H
9u87dz425b,in,7; 8; 2; 2; 1,FALSE,1,NA,2,I
gs66t665z0,out,16; 3; 1,FALSE,1,3,2,B
l4l6o4y61r,out,11; 4; 2; 2; 1,FALSE,1,3,2,A
60b9a7yj2g,out,1; 3; 11; 2; 1; 1; 1,FALSE,1,3,2,E
3n8j5512o7,out,17; 2; 1,FALSE,1,3,2,C
k04lw4915z,out,14; 3; 1; 1; 1,FALSE,1,3,2,D
339768gf74,out,7; 8; 2; 2; 1,FALSE,1,3,2,I
m1f1776n71,out,10; 5; 2; 2; 1,FALSE,1,3,2,F
8rr3e56qlf,out,12; 1; 4; 2; 1,FALSE,1,3,2,G
52ctr58dp6,out,10; 1; 4; 1; 1; 2; 1,FALSE,1,3,2,H
